#<start_value>            <fixed>                   <lower_limit>             <upper_limit>             <name>
262.3811312640648         0                         100                       500                       peak_height              
7.026401323611206         0                         2                         20                        peak_width               
650.9878204429103         0                         640                       660                       peak_position            
0.7986109881191408        0                         0.005                     2                         peak_step                
32.02507195541786         0                         -50                       50                        mag_height               
3.9842120317519067        0                         2                         20                        mag_width                
648.9865313041226         0                         640                       660                       mag_position             
-5.892038823957844        0                         -15                       -2                        ffre_offset              
1.1982725982382076        0                         -0.1                      10                        cap_chi_factor           
103.01319226604248        0                         80                        120                       layer_thickness          
14.988821769120372        0                         4                         40                        cap_thickness            
2.4961976388042846        0                         1                         6                         substrate_roughness      
3.491280479264795         0                         1                         6                         layer_roughness          
4.077909673075989         0                         1                         6                         cap_roughness            
3.0066056626851313e-07    0                         1e-09                     1e-05                     background               
0.3392402581643741        0                         0.1                       1                         multiplier               
